,id,ident,name,latitude_deg,longitude_deg,country_name,region_name,municipality,iata_code,full_text,score
1110,2436,EGMD,Lydd London Ashford Airport,50.956246,0.939074,United Kingdom,England,"Romney Marsh, Kent",LYX,"Lydd London Ashford Airport, Romney Marsh, Kent, United Kingdom, LYX",750
1111,5852,SAZS,San Carlos de Bariloche Airport,-41.151199,-71.157501,Argentina,Río Negro Province,San Carlos de Bariloche,BRC,"San Carlos de Bariloche Airport, San Carlos de Bariloche, Argentina, BRC",750
1112,3936,KTXK,Texarkana Regional Airport (Webb Field),33.453701,-93.990997,United States,Arkansas,Texarkana,TXK,"Texarkana Regional Airport (Webb Field), Texarkana, United States, TXK",750
1113,4760,MMTO,Adolfo López Mateos International Airport,19.3369,-99.56583,Mexico,México (state),Toluca,TLC,"Adolfo López Mateos International Airport, Toluca, Mexico, TLC",750
1114,2689,ESNU,Umeå Airport,63.791801452637,20.282800674438,Sweden,Västerbottens län,Umeå,UME,"Umeå Airport, Umeå, Sweden, UME",750
1115,2559,EKVG,Vágar Airport,62.063256,-7.275782,Faroe Islands,(unassigned),Vágar,FAE,"Vágar Airport, Vágar, Faroe Islands, FAE",750
1116,4048,LEZG,Zaragoza Airport,41.666199,-1.04155,Spain,Aragón,Zaragoza,ZAZ,"Zaragoza Airport, Zaragoza, Spain, ZAZ",750
1117,3577,KHGR,Hagerstown Regional Richard A Henson Field,39.708771,-77.728014,United States,Maryland,Hagerstown,HGR,"Hagerstown Regional Richard A Henson Field, Hagerstown, United States, HGR",500
1118,1827,CYNJ,Langley Airport,49.1008,-122.630997,Canada,British Columbia,Langley,YLY,"Langley Airport, Langley, Canada, YLY",500
1119,3880,KSGH,Springfield-Beckley Municipal Airport,39.840301513672,-83.840202331543,United States,Ohio,Springfield,SGH,"Springfield-Beckley Municipal Airport, Springfield, United States, SGH",300
1120,20527,KMMH,Mammoth Yosemite Airport,37.625381,-118.84306,United States,California,Mammoth Lakes,MMH,"Mammoth Yosemite Airport, Mammoth Lakes, United States, MMH",100
1121,19389,KBLM,Monmouth Executive Airport,40.18690109,-74.12490082,United States,New Jersey,Belmar/Farmingdale,BLM,"Monmouth Executive Airport, Belmar/Farmingdale, United States, BLM",50
1122,20283,KL06,Furnace Creek Airport,36.463799,-116.880997,United States,California,Death Valley,DTH,"Furnace Creek Airport, Death Valley, United States, DTH",50
1123,20102,KHWO,North Perry Airport,26.0012,-80.2407,United States,Florida,Hollywood,HWO,"North Perry Airport, Hollywood, United States, HWO",50
1124,18451,K1B1,Columbia County Airport,42.291302,-73.710297,United States,New York,Hudson,HCC,"Columbia County Airport, Hudson, United States, HCC",50
1125,20182,KIOW,Iowa City Municipal Airport,41.6391983032,-91.5465011597,United States,Iowa,Iowa City,IOW,"Iowa City Municipal Airport, Iowa City, United States, IOW",50
1126,20499,KMGJ,Orange County Airport,41.50999832,-74.26460266,United States,New York,Montgomery,MGJ,"Orange County Airport, Montgomery, United States, MGJ",50
1127,20771,KOUN,University of Oklahoma Westheimer Airport,35.2456,-97.472099,United States,Oklahoma,Norman,OUN,"University of Oklahoma Westheimer Airport, Norman, United States, OUN",50
1128,20782,KOXC,Waterbury Oxford Airport,41.47859954834,-73.135200500488,United States,Connecticut,Oxford,OXC,"Waterbury Oxford Airport, Oxford, United States, OXC",50
1129,3005,FVHA,Robert Gabriel Mugabe International Airport,-17.931801,31.0928,Zimbabwe,Harare Metropolitan Province,Harare,HRE,"Robert Gabriel Mugabe International Airport, Harare, Zimbabwe, HRE",1050
1130,2975,FQMA,Maputo Airport,-25.920799,32.572601,Mozambique,Maputo (city),Maputo,MPM,"Maputo Airport, Maputo, Mozambique, MPM",1050
1131,3109,GMME,Rabat-Salé Airport,34.051498,-6.75152,Morocco,Rabat-Salé-Kénitra Region,Rabat,RBA,"Rabat-Salé Airport, Rabat, Morocco, RBA",1000
1132,3076,GBYD,Banjul International Airport,13.338,-16.652201,Gambia,Western Division,Yundum,BJL,"Banjul International Airport, Yundum, Gambia, BJL",1000
1133,2244,EDLP,Paderborn Lippstadt Airport,51.614101,8.61632,Germany,North Rhine-Westphalia,Büren,PAD,"Paderborn Lippstadt Airport, Büren, Germany, PAD",750
1134,5028,NZDN,Dunedin International Airport,-45.928101,170.197998,New Zealand,Otago Region,Dunedin,DUD,"Dunedin International Airport, Dunedin, New Zealand, DUD",750
1135,1959,CYXJ,Fort St John / North Peace Regional Airport,56.238098,-120.739998,Canada,British Columbia,Fort Saint John,YXJ,"Fort St John / North Peace Regional Airport, Fort Saint John, Canada, YXJ",750
1136,4037,LESO,San Sebastián Airport,43.356499,-1.79061,Spain,Basque Country,Hondarribia,EAS,"San Sebastián Airport, Hondarribia, Spain, EAS",750
